Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Realistic Constraints,3: ABET: Function on Teams,4: ABET: Ethical responsibility,5: ABET: Effective Communication,"6: ABET: Global, etc. contexts",7: ABET: Life-long learning,8: ABET: Knowledge Contemporary Issues,9: ABET: Use skills,10: Hrs Per Week 9,11: Interest in student learning,12: Explain course requirements,13: Clear learning goals,14: Instructor provides Feedback to students,15: Importance of subject,16: Explains subject matter,17: Show respect for students,18: Overall teaching,19: Overall course,,
Fall,2016,"COFFELT, D. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,Lect,27,42,64%,,,,,,,,,,7.89,4.37,3.33,3.56,3.44,4.04,3.63,4.33,3.77,3.52,,
Fall,2016,"FINGER, S. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,Lect,27,42,64%,3.19,3.41,3.31,4.07,3.63,3.7,3.67,3.37,3.52,8,4.26,3.07,3.33,3.22,3.96,3.44,4.07,3.44,3.52,,
Semester,year,instructor,dept,Course ID,course name,Section,type,Responses,Enrollment,Resp. Rate %,1: abet: apply knowledge,2: abet: ability to design,2 : abet: realistic constraints,3: abet: function on teams,3 : abet: solve problems,4: abet: ethical responsibility,5: abet: effective communication,"6: abet: global, etc. contexts",6 : abet: life-long learning,7: abet: knowledge contemporary issues,7 : abet: use skills,8: hrs per week 9,9: interest in student learning,10: explain course requirements,11: clear learning goals,12: instructor provides feedback to students,13: importance of subject,14: explains subject matter,15: show respect for students,16: overall teaching,17: overall course
Fall,2016,CONSTANTINOS SAMARAS,CEE,12100,INTRO CIV & ENV ENG,A,Lect,44,54,81%,4.05,,4.07,4.11,4.16,4.25,4.14,,4.05,,,7.4,4.6,4.4,4.37,4.3,4.51,4.26,4.65,4.16,4.16
Spring,2016,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,A,Lect,6,21,29%,3.83,4.17,,,4,3.5,4,3.83,,3.67,,5,4.83,4,4.33,4.33,4.83,4.17,4.83,4.17,4.17
Spring,2016,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,B,Lect,5,10,50%,4,4.2,,,3.8,3.6,4,4,,4,,3.2,3.6,4,4,3.4,3.8,3.8,4.2,4,4
Fall,2016,"CHRISTIAN, S. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,Lect,21,23,91%,3.86,,4,,3.9,3.9,4.14,,3.62,,3.57,15.19,4.05,3.52,3.86,3.86,3.81,3.67,4.29,3.62,3.67
Fall,2016,"THOMPSON, J. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,Lect,21,23,91%,,,,,,,,,,,,14.95,3.95,3.76,3.86,3.86,4.1,3.67,3.57,3.62,3.67
Semester,year,instructor,dept,Course ID,course name,Section,type,Responses,Enrollment,Resp. Rate %,1: abet: apply knowledge,2: abet: realistic constraints,2 : abet: solve problems,3: abet: ethical responsibility,3 : abet: function on teams,"4: abet: global, etc. contexts",5: abet: life-long learning,5 : abet: knowledge contemporary issues,6: abet: use skills,7: hrs per week 9,8: interest in student learning,9: explain course requirements,10: clear learning goals,11: instructor provides feedback to students,12: importance of subject,13: explains subject matter,14: show respect for students,15: overall teaching,16: overall course,,
Spring,2016,"FRANCIONI ROONEY, A. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,Lect,15,33,45%,,,,,,,,,,7.79,4.6,4.53,4.47,4.47,4.47,4.4,4.67,4.4,4.2,,
Spring,2016,"MAUTER, M. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,Lect,15,33,45%,4.43,,4.21,4.07,,4.57,4.14,4.38,,8.8,4.73,4.67,4.73,4.5,4.67,4.4,4.73,4.33,4.33,,
Fall,2016,KER-WEI YEOH,CEE,12411,PRJ MANGMT CONSTRCTN,A,Lect,16,28,57%,3.69,4.06,3.94,,4.06,,,3.94,3.81,9.13,4.25,4.06,4,3.88,4.13,4.13,4.63,4.06,3.8,,
Fall,2016,NOAH SHALTES,CEE,12411,PRJ MANGMT CONSTRCTN,B,Lect,20,23,87%,3.2,3.1,3.25,,3.5,,,3.4,3.32,9.25,3.75,3.4,3.35,3.35,3.65,3.35,4.35,3.45,3.05,,
Semester,year,instructor,dept,Course ID,course name,Section,type,Responses,Enrollment,Resp. Rate %,1: abet: apply knowledge,2: abet: ability to design,2 : abet: solve problems,3: abet: use skills,4: hrs per week 9,5: interest in student learning,6: explain course requirements,7: clear learning goals,8: instructor provides feedback to students,9: importance of subject,10: explains subject matter,11: show respect for students,12: overall teaching,13: overall course,,,,,,,
Spring,2016,"FRANCIONI ROONEY, A. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,Lect,34,42,81%,3.53,3.74,3.55,,8.47,3.94,3.44,3.71,3.5,3.82,3.65,3.85,3.62,3.44,,,,,,,
Spring,2016,"THOMPSON, J. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,Lect,34,42,81%,,,,,9.83,3.84,3.6,3.8,3.56,4.04,3.72,3.44,3.68,3.68,,,,,,,
Spring,2016,MARIO BERGES,CEE,12271,INT CM AP CV ENV ENG,A,Lect,25,42,60%,4.2,,4.32,4.48,7.04,4.6,4.4,4.48,4.28,4.52,4.2,4.6,4.48,4.44,,,,,,,
