Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,M. STEPHANIE MURRAY,BXA,52190,BXA SEM I,A,Lect,10,21,48%,5.9,4.9,4,3.6,4.1,4.3,4.3,5,4.56,4.22
Spring,2016,MARIA ELENA VERSARI,BXA,52202,VIS CUL TOTALITARIAN,A,Lect,2,4,50%,8,5,4.5,4.5,4.5,4.5,4,4.5,4.5,4.5
Fall,2016,CARRIE HAGAN,BXA,52292,BXA LEADERSHIP,A,Lect,3,5,60%,2,4.67,4.33,4.67,4.67,5,4.33,5,5,4.67
Spring,2016,CARRIE HAGAN,BXA,52392,BXA SEM III,A,Lect,10,17,59%,5,4.3,3.89,3.9,3.2,3.7,3.8,4.2,3.6,3.1
Fall,2016,M. STEPHANIE MURRAY,BXA,52401,BXA SEM IV: CAPSTONE,A,Lect,5,15,33%,5,4.8,4.8,4.8,3.4,4.6,4.2,5,4.2,3.8
Fall,2016,CARRIE HAGAN,BXA,52401,BXA SEM IV: CAPSTONE,B,Lect,9,20,45%,4,4.78,4.22,4,3.67,3.89,4.11,4.67,3.78,3.44
Spring,2016,M. STEPHANIE MURRAY,BXA,52402,BXA SEM V: CAPSTONE,A,Lect,10,29,34%,9.9,4.7,4.6,4.8,4.7,4.8,4.8,4.9,4.6,4.6
Fall,2016,MAHMOOD-REZA VALI,BXA,52430,MUSIC OF IRAN,A,Lect,2,3,67%,6.5,5,5,5,5,5,5,5,5,5
Fall,2016,TERESA MACGREGOR,CMU,99104,CARNEGIE SKILLS WRKS,W,Lect,10,16,62%,2.3,4.6,4.6,4.6,4.5,4.4,4.6,4.8,4.9,4.1
Fall,2016,ALICIA SALAZ,CMU,99104,CARNEGIE SKILLS WRKS,WW,Lect,10,16,62%,3.5,4.4,4.4,4.5,4,4.5,4.5,4.9,4.8,4.3
Fall,2016,TERESA MACGREGOR,CMU,99104,CARNEGIE SKILLS WRKS,X,Lect,10,14,71%,2.9,4.5,4.5,4.6,4.3,4.4,4.4,4.7,4.6,4
Fall,2016,ALICIA SALAZ,CMU,99104,CARNEGIE SKILLS WRKS,XX,Lect,12,16,75%,3,4.67,4.75,4.75,3.92,4.42,4.25,4.92,4.42,3.18
Fall,2016,ALICIA SALAZ,CMU,99104,CARNEGIE SKILLS WRKS,Y,Lect,17,19,89%,3.59,4.35,4.59,4.53,4.29,4.25,4.53,4.82,4.47,3.94
