Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,HEATHER WORKINGER,ARC,48025,FRST YR SEM:ARCH EDT,A,Lect,39,72,54%,3.23,4.46,4.54,4.49,4.05,4.31,4.33,4.62,4.45,3.92
Spring,2016,HEATHER WORKINGER,ARC,48026,FRST YR SEM:ARCH ED,A,Lect,33,58,57%,4,4.48,4.48,4.64,4.18,4.33,4.27,4.84,4.45,4.3
Fall,2016,NINA MARIE BARBUTO,ARC,48095,SPTL CNCP NON-ARCTSI,A,Lect,7,12,58%,10.57,4.57,3.14,3.14,4.29,4,3.71,4.71,3.86,3.57
Fall,2016,"COOPER, W. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,1,Lect,40,72,56%,21.13,4.47,4.28,4.3,4.68,4.56,4.6,4.6,4.58,4.6
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,1,Lect,40,72,56%,21.89,4.33,4.38,4.26,4.26,4.67,4.41,4.37,4.46,4.49
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,A,Lect,6,12,50%,24.33,3.67,4.17,4.17,3.83,4.33,4.5,4,4.33,4.17
Fall,2016,"QUICK, S. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,A,Lect,6,12,50%,24.33,5,3.67,4,4.33,4,4,5,4,4.33
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,B,Lect,6,12,50%,23.83,4.17,4.5,4.5,4.5,4.5,4.33,4.17,4.5,4.33
Fall,2016,"RANTTILA, A. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,B,Lect,6,12,50%,23.83,4.83,4.33,4.83,4.83,4.67,4.67,5,4.67,4.67
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,C,Lect,5,12,42%,23.75,5,5,5,4.67,5,4.67,5,5,5
Fall,2016,"MOSS, A. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,C,Lect,5,12,42%,23.75,4.8,4.8,4.6,4.8,4.8,4.8,4.8,4.8,4.6
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,D,Lect,6,12,50%,18.5,3.8,3.8,3.8,3.8,4,4,3.8,4,4
Fall,2016,"DABINETT, L. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,D,Lect,6,12,50%,20.8,4.17,3.83,3.83,3.83,4.17,4,4.2,4,4.2
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,E,Lect,6,12,50%,22.33,4.67,4.67,4.67,4.67,5,4.67,4.17,4.67,4.67
Fall,2016,"BARTOSIEWICZ, L. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,E,Lect,6,12,50%,22,5,4.17,4,4.33,4.33,4.17,4.5,4.33,4.5
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,F,Lect,12,12,100%,20.92,4.5,4.67,4.5,4.25,4.58,4.58,4.33,4.42,4.58
Fall,2016,"PERRY, T. (co-taught)",ARC,48100,ARCH DESIGN STUDIO,F,Lect,12,12,100%,21.17,5,4.92,4.75,4.75,4.67,5,4.83,4.83,4.75
Spring,2016,KAI GUTSCHOW,ARC,48105,ARC DSGN STU: FDT II,1,Lect,31,58,53%,25.23,3.87,3.68,3.94,3.29,4.06,4.06,4.29,3.74,3.87
Spring,2016,"SUHRBIER, K. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,A,Lect,17,30,57%,24.24,4.76,4.59,4.59,4.82,4.71,4.71,4.82,4.76,4.71
Spring,2016,"GUTSCHOW, K. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,A,Lect,17,30,57%,23.88,3.94,4.19,4.25,3.69,4.25,4.25,4.56,4.19,4.44
Spring,2016,"RANTTILA, A. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,A,Lect,17,30,57%,23.88,4.81,4.63,4.56,4.75,4.56,4.44,4.88,4.69,4.63
Spring,2016,"CRAIG, G. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,A,Lect,17,30,57%,23.87,4.88,4.81,4.69,4.81,4.81,4.69,4.94,4.88,4.81
Spring,2016,"GUTSCHOW, K. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,B,Lect,14,28,50%,25.93,4.14,3.57,3.79,3.64,4.36,4.14,4.29,3.86,3.86
Spring,2016,"PERRY, T. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,B,Lect,14,28,50%,26,4.46,4.23,3.85,4,4.31,4.08,4.69,4.23,3.92
Spring,2016,"LIADIS, N. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,B,Lect,14,28,50%,26,4,3.54,3.54,3.08,3.46,3.38,3.92,3.23,3.38
Spring,2016,"CELENTO, D. (co-taught)",ARC,48105,ARC DSGN STU: FDT II,B,Lect,14,28,50%,26.1,4.23,3.46,3.54,3.77,4.15,3.77,3.92,3.77,3.92
Fall,2016,"DAMIANI, G. (co-taught)",ARC,48120,MEDIA I,1,Lect,38,74,51%,13.92,4.37,4.37,4.53,4.22,4.5,4.47,4.34,4.32,4.42
Fall,2016,"KIM, M. (co-taught)",ARC,48120,MEDIA I,1,Lect,38,74,51%,13.94,4.58,4.37,4.42,4.5,4.61,4.63,4.74,4.58,4.58
Spring,2016,MAN KIM,ARC,48125,DIG MEDIA II,13,Lect,27,58,47%,14.89,4.33,4.22,4.37,4.04,4.67,4.11,4.26,4.11,4.22
Spring,2016,WILLIAM COOPER,ARC,48126,ANALOG MEDIA II,A4,Lect,35,59,59%,11.09,4.34,4.06,3.97,4.2,4.06,4.14,4.29,4.17,4.17
Spring,2016,RAMESH KRISHNAMURTI,ARC,48175,DESC GEOMETRY,W,Lect,8,13,62%,19.13,4.25,3.88,4,3.63,4.25,3.88,4.63,3.38,3.5
Fall,2016,JOSHUA BARD,ARC,48200,ARCH DES STDIO COMP,1,Lect,25,55,45%,25.4,4.64,4.44,4.44,4.08,4.48,4.36,4.8,4.4,4.42
Fall,2016,"BARD, J. (co-taught)",ARC,48200,ARCH DES STDIO COMP,A,Lect,4,11,36%,24.5,4,4,4.25,3.25,3.5,4,4.5,4,4.25
Fall,2016,"AZEL, N. (co-taught)",ARC,48200,ARCH DES STDIO COMP,A,Lect,4,11,36%,24.5,4,3.75,3.5,3.75,3.25,4.25,4.75,3.75,4
Fall,2016,"BARD, J. (co-taught)",ARC,48200,ARCH DES STDIO COMP,B,Lect,4,11,36%,26.25,5,4.5,4.5,4.25,4.5,4.25,5,4.5,4.5
Fall,2016,"SHAW, L. (co-taught)",ARC,48200,ARCH DES STDIO COMP,B,Lect,4,11,36%,26.25,5,4.75,4.75,4.75,4.75,4.75,5,4.75,4.75
Fall,2016,"LUCCHINO, J. (co-taught)",ARC,48200,ARCH DES STDIO COMP,C,Lect,5,11,45%,26.4,4,3.5,3.75,3.75,4,3.5,5,4,4.25
Fall,2016,"BARD, J. (co-taught)",ARC,48200,ARCH DES STDIO COMP,C,Lect,5,11,45%,27,5,4.5,4.75,4.25,4.5,4.5,4.75,5,4.75
Fall,2016,"BARD, J. (co-taught)",ARC,48200,ARCH DES STDIO COMP,D,Lect,9,11,82%,25.33,4.67,4.44,4.56,4.11,4.44,4.33,5,4.67,4.44
Fall,2016,"REHMAN, N. (co-taught)",ARC,48200,ARCH DES STDIO COMP,D,Lect,9,11,82%,25.33,4.89,4.67,5,4.56,4.56,4.67,4.56,4.78,4.67
Fall,2016,"SAKS, B. (co-taught)",ARC,48200,ARCH DES STDIO COMP,E,Lect,5,11,45%,25.8,3.4,4,3.8,3.4,3.8,3.8,4.2,3.8,4.2
Fall,2016,"BARD, J. (co-taught)",ARC,48200,ARCH DES STDIO COMP,E,Lect,5,11,45%,22.6,4.6,4.6,4.6,4.4,4.6,4.8,5,4.6,4.6
Spring,2016,JEREMY FICCA,ARC,48205,ARC DSGN STU: EL II,1,Lect,21,48,44%,24.57,4.76,4.57,4.57,4.76,4.81,4.62,4.76,4.71,4.52
