Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,"TORELLO, F. (co-taught)",CAS,64420,CRCB MOD VIENNA 19,A,Lect,2,2,100%,8,4,3.5,3.5,4.5,4.5,4,4.5,4,4
Fall,2016,"MAIER, G. (co-taught)",CAS,64420,CRCB MOD VIENNA 19,A,Lect,2,2,100%,8,4,3.5,3.5,4,4,4,4.5,4,4
Spring,2016,PAUL ROSENBLATT,CAS,64422,HOLOCAUST CENTER 2.0,A,Lect,1,7,14%,5,5,3,3,5,5,5,5,4,4
Fall,2016,TAI-SING LEE,CNB,86375,COMPUTNL PERCPTION,A,Lect,3,4,75%,12.33,4.67,4.67,4.67,4.33,5,4.67,4.67,4.67,5
Fall,2016,STEVEN CHASE,CNB,86631,NEURAL DATA ANALYS,A,Lect,4,4,100%,14.25,5,5,5,5,5,5,5,5,5
Fall,2016,TAI-SING LEE,CNB,86675,COMPUTNL PERCPTION,A,Lect,9,11,82%,12.88,4.56,4.22,4.22,4.13,4.56,4.33,4.56,4.22,4.11
Spring,2016,"SLEET, C. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,70,136,51%,6.52,4.43,4.44,4.39,3.96,4.43,4.39,4.51,4.34,4
Spring,2016,"KUSHNIR, A. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,70,136,51%,6.8,4.07,3.99,3.96,3.57,3.94,3.83,4.32,3.68,3.68
Fall,2016,"KESTEN, O. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,91,186,49%,7.88,4.1,4.2,4.2,3.85,4.27,4.13,4.45,4.1,3.96
Fall,2016,"GOLDBURG, C. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,91,186,49%,7.65,3.49,3.46,3.41,3.21,3.54,3.33,3.71,3.27,3.38
Fall,2016,"SLEET, C. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,91,186,49%,7.9,4.45,4.38,4.42,4.15,4.5,4.38,4.42,4.31,4.09
Spring,2016,"SLEET, C. (co-taught)",ECO,73100,PRINC OF ECONOMICS,2,Lect,61,109,56%,7.05,4.33,4.32,4.27,4.07,4.3,4.32,4.52,4.25,4.07
Spring,2016,"KUSHNIR, A. (co-taught)",ECO,73100,PRINC OF ECONOMICS,2,Lect,61,109,56%,7.08,4.08,4.07,4.13,3.88,4.15,4,4.48,3.95,4.05
Fall,2016,"KESTEN, O. (co-taught)",ECO,73100,PRINC OF ECONOMICS,2,Lect,90,168,54%,8.05,4.16,4.08,4.16,4,4.24,4.22,4.5,4.13,3.87
