Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,,,,
Fall,2016,DAVID KRACKHARDT,HC,94700,ORGNZTNL DSGN & IMPL,A1,Lect,40,47,85%,7.22,4.45,4.28,4.35,3.42,4.7,4.68,4.52,4.52,4.32,,,,
Summer,2016,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,A5,Lect,42,42,100%,9.52,4.76,4.79,4.67,4.21,4.76,4.79,4.83,4.86,4.76,,,,
Fall,2016,DAVID KRACKHARDT,HC,94700,ORGNZTNL DSGN & IMPL,B2,Lect,33,42,79%,6.97,4.36,4.09,4.09,3.33,4.24,4.48,4.5,4.27,4.15,,,,
Summer,2016,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,B5,Lect,35,36,97%,8.88,4.74,4.69,4.74,4.23,4.74,4.86,4.71,4.83,4.71,,,,
Fall,2016,DAVID KRACKHARDT,HC,94700,ORGNZTNL DSGN & IMPL,C1,Lect,38,48,79%,7.61,4.66,4.5,4.55,4,4.76,4.53,4.68,4.55,4.47,,,,
Fall,2016,DAVID KRACKHARDT,HC,94700,ORGNZTNL DSGN & IMPL,D2,Lect,33,39,85%,7.55,4.52,4.34,4.33,3.91,4.42,4.45,4.52,4.48,4.33,,,,
Fall,2016,DAVID KRACKHARDT,HC,94700,ORGNZTNL DSGN & IMPL,E1,Lect,35,40,88%,6.76,4.54,4.49,4.37,3.89,4.69,4.68,4.6,4.66,4.54,,,,
Fall,2016,DAVID KRACKHARDT,HC,94700,ORGNZTNL DSGN & IMPL,F2,Lect,37,46,80%,6.79,4.59,4.41,4.32,3.78,4.65,4.54,4.54,4.54,4.27,,,,
Fall,2016,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,G1,Lect,41,44,93%,7.08,4.88,4.68,4.73,4.37,4.85,4.76,4.9,4.9,4.8,,,,
Fall,2016,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,H2,Lect,34,40,85%,8.41,4.88,4.62,4.56,4.15,4.78,4.76,4.85,4.82,4.64,,,,
Fall,2016,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,I2,Lect,29,32,91%,8.11,4.72,4.55,4.55,4.17,4.76,4.66,4.52,4.59,4.64,,,,
Fall,2016,STEPHEN SCHMID,HC,94700,ORGNZTNL DSGN & IMPL,K1,Lect,24,39,62%,7.25,3.92,4.13,4.08,4.21,4.21,4.22,4.75,3.88,3.63,,,,
Spring,2016,STEPHEN SCHMID,HC,94700,ORGNZTNL DSGN & IMPL,K4,Lect,15,19,79%,6.2,4.2,4.13,4.07,4.07,4.2,4.13,4.67,4.2,3.93,,,,
