Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,CHIEN HO,BSC,3101,BSC FIRST YEAR SEMNR,C4,Lect,4,6,67%,4.25,4.5,4.25,4.75,3.5,4.5,3.67,4.75,4,4.25
Fall,2016,"MCGUIER, N. (co-taught)",BSC,3115,PHAGE GENOMICS RSRCH,1,Lect,16,22,73%,5,4.88,4.81,4.75,4.94,4.69,4.94,4.94,4.88,5
Fall,2016,"JARVIK, J. (co-taught)",BSC,3115,PHAGE GENOMICS RSRCH,1,Lect,16,22,73%,5,4.94,4.81,4.63,4.94,5,4.75,5,4.63,5
Fall,2016,ANNETTE VINCENT,BSC,3115,PHAGE GENOMICS RSRCH,W,Lect,5,6,83%,5,4.6,4.2,4.4,4,4.2,4.6,4.4,4.6,4
Spring,2016,"LOPEZ, A. (co-taught)",BSC,3116,PHAGE GENOMICS RSRCH,A,Lect,7,18,39%,5,4.29,4.29,4,4.14,4.29,4.43,4.33,4,4.29
Spring,2016,"MOHAN, S. (co-taught)",BSC,3116,PHAGE GENOMICS RSRCH,A,Lect,7,18,39%,5.43,4.71,4.71,4.57,4.57,4.43,4.57,4.57,4.43,4.43
Spring,2016,VALENTIN ILYIN,BSC,3116,PHAGE GENOMICS RSRCH,W,Lect,6,6,100%,8,4.33,3.83,4.17,4,4.33,4,4.83,4,4.17
Spring,2016,"LANNI, F. (co-taught)",BSC,3121,MODERN BIOLOGY,A,Lect,94,150,63%,7.01,4.24,3.86,3.74,3.47,3.99,3.6,4.64,3.64,3.4
Spring,2016,"JARVIK, J. (co-taught)",BSC,3121,MODERN BIOLOGY,A,Lect,94,150,63%,7.01,3.91,3.52,3.4,3.1,3.62,3.26,4.26,3.12,3.14
Fall,2016,"VISOMIRSKI-ROBIC, L. (co-taught)",BSC,3121,MODERN BIOLOGY,A,Lect,91,148,61%,8.65,3.08,3.39,3.27,2.91,3.08,2.97,4.06,2.77,2.79
Fall,2016,"LOPEZ, A. (co-taught)",BSC,3121,MODERN BIOLOGY,A,Lect,91,148,61%,8.38,3.99,3.89,3.9,3.52,4.04,3.99,4.36,3.83,3.42
Fall,2016,"DANTONIO, J. (co-taught)",BSC,3121,MODERN BIOLOGY,B,Lect,38,39,97%,6.66,4.92,4.63,4.61,4.47,4.76,4.82,4.92,4.89,4.66
Fall,2016,"CAMPANARO, B. (co-taught)",BSC,3121,MODERN BIOLOGY,B,Lect,38,39,97%,6.66,4.58,4.45,4.47,4.37,4.57,4.47,4.84,4.45,4.68
Summer,2016,DANIEL BRASIER,BSC,3121,MODERN BIOLOGY,E,Lect,5,5,100%,10.6,4.4,4.6,4.6,4.6,4.2,4.4,5,4.4,4.2
Summer,2016,DANIEL BRASIER,BSC,3121,MODERN BIOLOGY,U,Lect,9,9,100%,12.11,4.89,4.67,4.56,4.56,4.56,4.89,4.56,4.67,4.78
Spring,2016,SWARNA MOHAN,BSC,3124,MODERN BIOLOGY LAB,1,Lect,7,17,41%,6.71,4.43,4.86,4.86,4.57,4.71,5,4.43,4.57,4.14
Fall,2016,NATALIE MCGUIER,BSC,3124,MODERN BIOLOGY LAB,1,Lect,16,20,80%,8.19,4.81,4.75,4.81,4.75,4.81,5,4.81,4.88,4.81
Summer,2016,CARRIE DOONAN,BSC,3124,MODERN BIOLOGY LAB,E,Lect,1,4,25%,11,5,5,4,5,5,5,5,5,5
Summer,2016,CARRIE DOONAN,BSC,3124,MODERN BIOLOGY LAB,U,Lect,1,3,33%,8,5,5,5,4,5,5,5,4,5
Fall,2016,VERONICA HINMAN,BSC,3125,EVOLTN,A,Lect,12,26,46%,6,4.42,4.25,4.33,4.17,4.17,4.5,4.75,4.25,4
Spring,2016,JONATHAN MINDEN,BSC,3127,HW BLG EX WK PRJ CRS,A,Lect,1,9,11%,5,5,5,5,5,5,5,5,5,5
Fall,2016,BROOKE MCCARTNEY,BSC,3132,BAS SCI TO MOD MEDCN,A,Lect,13,28,46%,6.75,3.92,2.92,3.62,3,4.08,3.85,3.77,3.46,3.38
Summer,2016,BROOKE MCCARTNEY,BSC,3132,BAS SCI TO MOD MEDCN,E,Lect,3,3,100%,14.33,5,5,5,5,5,5,5,5,5
Summer,2016,BROOKE MCCARTNEY,BSC,3132,BAS SCI TO MOD MEDCN,S,Lect,3,7,43%,12,4.67,4.33,4.33,4.67,4.67,4.33,4.67,4.33,4.33
Summer,2016,BROOKE MCCARTNEY,BSC,3132,BAS SCI TO MOD MEDCN,U,Lect,2,2,100%,11,5,4.5,4,3.5,5,5,5,4.5,4.5
Spring,2016,MOHAMED BOUAOUINA,BSC,3132,BAS SCI TO MOD MEDCN,W,Lect,16,19,84%,7.25,4.19,3.88,4,3.31,3.94,4,4.19,3.88,3.69
Fall,2016,MOHAMED BOUAOUINA,BSC,3132,BAS SCI TO MOD MEDCN,W,Lect,10,14,71%,8.6,4.2,4.4,4.2,3,3.6,4.2,3.9,3.9,3.5
Fall,2016,JONATHAN MINDEN,BSC,3151,HONORS MOD BIOLOGY,1,Lect,39,58,67%,10.16,4.92,4.67,4.59,4.51,4.85,4.85,4.97,4.85,4.85
Fall,2016,"RULE, G. (co-taught)",BSC,3151,HONORS MOD BIOLOGY,W,Lect,15,20,75%,8.8,4.87,4.33,4.33,4.27,4.33,4.6,4.93,4.4,4.47
Fall,2016,"HOVIS, K. (co-taught)",BSC,3151,HONORS MOD BIOLOGY,W,Lect,15,20,75%,8.21,4.47,4.6,4.47,4.27,4.33,4.53,4.73,4.4,4.27
Spring,2016,DANIEL BRASIER,BSC,3161,MOLECULES TO MIND,A,Lect,77,77,100%,6.62,4.83,4.68,4.53,4.56,4.52,4.6,4.82,4.62,4.45
Summer,2016,DANIEL BRASIER,BSC,3161,MOLECULES TO MIND,E,Lect,10,10,100%,12,4.9,4.7,4.8,4.5,4.6,4.7,5,4.8,4.7
Summer,2016,DANIEL BRASIER,BSC,3161,MOLECULES TO MIND,U,Lect,5,5,100%,11,4.8,4.8,4.4,4.6,4.4,4.8,5,4.6,4.4
Fall,2016,BECKI CAMPANARO,BSC,3201,UNDGRAD COLLQM SOPHM,A,Lect,29,49,59%,2.21,4.55,4.66,4.59,4.55,4.55,4.61,4.66,4.55,4.21
Fall,2016,"HOVIS, K. (co-taught)",BSC,3201,UNDGRAD COLLQM SOPHM,W,Lect,13,19,68%,2.23,4.85,4.85,4.62,4.31,4.62,4.62,4.85,4.69,4.54
Fall,2016,"VINCENT, A. (co-taught)",BSC,3201,UNDGRAD COLLQM SOPHM,W,Lect,13,19,68%,2.23,4.77,4.69,4.54,4.23,4.54,4.54,4.77,4.69,4.46
Spring,2016,KEN HOVIS,BSC,3202,UNDGRAD COLLOQUM SOP,W,Lect,5,7,71%,2,5,5,5,4.8,5,5,5,5,5
Spring,2016,CONRAD ZAPANTA,BSC,3206,BIOMED ENG LAB,A,Lect,3,9,33%,10,4.33,4.33,4,4,4,4,4.67,4.33,3.67
Fall,2016,CONRAD ZAPANTA,BSC,3206,BIOMED ENG LAB,A,Lect,7,7,100%,9.29,4.71,4.43,4.71,4.43,4.71,4.71,5,4.86,4.43
Fall,2016,CONRAD ZAPANTA,BSC,3206,BIOMED ENG LAB,B,Lect,3,6,50%,12,5,4,4,5,4,4.67,5,4.67,4
Fall,2016,"LOPEZ, A. (co-taught)",BSC,3220,GENETICS,1,Lect,65,90,72%,9.25,3.98,3.89,3.83,3.66,3.94,3.54,4.22,3.57,3.56
Fall,2016,"MCMANUS, C. (co-taught)",BSC,3220,GENETICS,1,Lect,65,90,72%,9.17,4.48,4.17,4.12,4,4.23,3.98,4.58,3.94,3.73
Spring,2016,KEN HOVIS,BSC,3230,INTRO MAMMALIAN PHYS,W,Lect,14,24,58%,9.57,4.57,4.57,4.57,4.07,4.64,4.43,4.79,4.43,4.29
Spring,2016,"RULE, G. (co-taught)",BSC,3232,BIOCHEMISTRY I,1,Lect,73,148,49%,8.88,4.73,4.68,4.61,4.47,4.6,4.76,4.78,4.67,4.31
Spring,2016,"VISOMIRSKI-ROBIC, L. (co-taught)",BSC,3232,BIOCHEMISTRY I,1,Lect,73,148,49%,8.46,3.56,3.34,3.19,3,3.09,2.54,4.09,2.63,3.25
Fall,2016,GORDON RULE,BSC,3232,BIOCHEMISTRY I,W,Lect,12,14,86%,11.33,4.92,4.92,4.83,4.75,4.92,4.92,4.92,4.92,4.83
Spring,2016,ADAM LINSTEDT,BSC,3240,CELL BIOLOGY,A,Lect,19,30,63%,8.5,4.37,4.42,4.53,3.84,4.47,4.21,4.42,4.05,3.95
Spring,2016,MOHAMED BOUAOUINA,BSC,3240,CELL BIOLOGY,W,Lect,11,14,79%,8.27,4.55,4.36,4.36,3.91,4.18,4.64,4.73,4.45,4.55
Spring,2016,"SCHWARTZ, R. (co-taught)",BSC,3250,INTR COMPTNL BIOLGY,1,Lect,12,29,41%,7.5,4.33,4.67,4.42,4,4.33,4.17,4.75,4.25,4.17
Spring,2016,"Murphy, R. (co-taught)",BSC,3250,INTR COMPTNL BIOLGY,1,Lect,12,29,41%,6.36,4.45,4.45,4.36,4.09,4.27,4.27,4.36,4.09,3.91
Fall,2016,DANIEL BRASIER,BSC,3260,NEURO OF DISEASE,A,Lect,33,40,82%,7.64,4.97,4.97,4.88,4.82,4.94,4.94,4.97,4.94,4.91
Summer,2016,"RULE, G. (co-taught)",BSC,3270,SUMMER RESEARCH INST,A,Lect,9,9,100%,23.2,4.6,4,3.75,4.2,4.6,4.6,5,4.6,3.8
Summer,2016,"LOPEZ, A. (co-taught)",BSC,3270,SUMMER RESEARCH INST,A,Lect,9,9,100%,14.5,3,3,3,3,3,3,3,3,3
Summer,2016,"CAMPANARO, B. (co-taught)",BSC,3270,SUMMER RESEARCH INST,A,Lect,9,9,100%,24.89,4.67,4.56,4.67,4.56,4.67,4.67,4.56,4.67,4.22
Fall,2016,BECKI CAMPANARO,BSC,3301,UNDGRAD COLLQM JUNR,A,Lect,1,4,25%,2,5,5,5,5,5,5,5,5,5
Fall,2016,MANOJKUMAR PUTHENVEEDU,BSC,3320,CELL BIOLOGY,A,Lect,31,53,58%,8.93,4.55,4.42,4.45,4.03,4.39,4.45,4.71,4.33,4.29
Fall,2016,VERONICA HINMAN,BSC,3326,EVLN REGLTY GENOMICS,A1,Lect,4,6,67%,5,5,4.75,4.75,5,5,4.75,4.75,4.75,4.75
Fall,2016,IHAB YOUNIS,BSC,3330,GENETICS,W,Lect,15,18,83%,9.57,4.87,5,5,4.73,4.87,4.93,5,4.93,4.8
Fall,2016,"DOONAN, C. (co-taught)",BSC,3343,EXP TECHN MOL BIOLGY,1,Lect,28,49,57%,20.93,4.18,3.54,3.75,3.71,3.89,3.96,3.96,3.64,3.21
Fall,2016,"DRILL, E. (co-taught)",BSC,3343,EXP TECHN MOL BIOLGY,1,Lect,28,49,57%,21.19,4.32,3.79,3.86,4,4.04,4.11,4.46,4,3.43
Fall,2016,ANNETTE VINCENT,BSC,3343,EXP TECHN MOL BIOLGY,W,Lect,7,9,78%,21.43,4.86,4.71,4.57,4.29,4.71,4.71,5,4.71,4.29
Spring,2016,"DOONAN, C. (co-taught)",BSC,3344,EXPERMNTL BIOCHEMTRY,1,Lect,20,36,56%,16.7,4.7,4.45,4.55,4.6,4.7,4.65,4.5,4.55,4.47
