Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,PHILLIP COMPEAU,CB,2201,PRGRMMING SCIENTISTS,1,Lect,4,5,80%,13.25,4.75,4.5,4.25,4.25,4.75,4.5,4.75,4.5,4.5
Fall,2016,PHILLIP COMPEAU,CB,2201,PRGRMMING SCIENTISTS,1,Lect,4,4,100%,12.5,4.5,4.5,4.25,3.5,4,4.25,4.75,4.5,3.75
Spring,2016,"SCHWARTZ, R. (co-taught)",CB,2250,INTRO TO COMP BIO,1,Lect,1,6,17%,5,3,3,3,4,5,3,5,4,3
Spring,2016,"Murphy, R. (co-taught)",CB,2250,INTRO TO COMP BIO,1,Lect,1,6,17%,11,5,4,3,3,5,5,5,5,4
Spring,2016,VALENTIN ILYIN,CB,2250,INTRO TO COMP BIO,W,Lect,15,23,65%,11.54,3.93,3.4,3.27,3.07,3.71,3.07,4.4,3.21,3.21
Fall,2016,JOSHUA KANGAS,CB,2261,QNTV CL MLC BLG LAB,1,Lect,1,5,20%,8,5,5,5,5,5,5,5,5,5
Spring,2016,ZIV BAR-JOSEPH,CB,2317,ALGORITHMS IN NATURE,A,Lect,1,3,33%,8,2,2,4,3,5,4,3,4,4
Fall,2016,CHRISTOPHER LANGMEAD,CB,2450,AUTMTN BILOGL RESRCH,A,Lect,1,6,17%,8,5,5,5,5,5,5,5,5,5
Spring,2016,SE YOUNG KIM,CB,2510,COMPUTATNL GENOMICS,A,Lect,2,4,50%,12.5,1.5,1.5,2,1,1.5,1.5,2,1.5,1
Fall,2016,VALENTIN ILYIN,CB,2510,COMPUTATNL GENOMICS,W,Lect,3,4,75%,9,4,4,4,4,4,3.67,5,4,3.67
Fall,2016,RUSSELL SCHWARTZ,CB,2512,CMPL MTH BIO MDL SMT,A,Lect,2,3,67%,8,5,5,5,5,5,5,5,5,5
Spring,2016,"LANGMEAD, C. (co-taught)",CB,2518,COMP MEDICINE,A,Lect,2,3,67%,9.5,5,5,5,5,5,5,5,5,5
Spring,2016,"WU, W. (co-taught)",CB,2518,COMP MEDICINE,A,Lect,2,3,67%,9.5,5,5,5,5,5,5,5,5,5
Fall,2016,PHILLIP COMPEAU,CB,2601,PRGRMMING SCIENTISTS,1,Lect,22,23,96%,12.86,4.14,4.27,4.36,3.77,4.32,4.5,4.18,4.27,4.18
Spring,2016,PHILLIP COMPEAU,CB,2604,FUNDAMENTALS BIOINF,A,Lect,6,7,86%,19,4.83,4.67,4.83,4.67,4.67,4.83,5,4.67,4.5
Fall,2016,JIAN MA,CB,2613,ALGR & ADV DTA STRC,A,Lect,40,42,95%,10.82,3.67,3.95,4.05,3.38,3.8,3.52,4.38,3.46,3.5
Fall,2016,DU (JOHN) VU,CB,2651,NW TCHNLG FTR MRKTS,A,Lect,23,33,70%,7.18,4.61,4.57,4.61,4.48,4.52,4.57,4.57,4.48,4.43
Fall,2016,DU (JOHN) VU,CB,2654,BIOTCHNG ENTRP DEVLP,A,Lect,15,31,48%,7.86,3.33,2.93,3.07,3.07,3.2,3.2,3.47,2.8,3
Spring,2016,SE YOUNG KIM,CB,2710,COMPUTATNL GENOMICS,A,Lect,22,30,73%,9.86,4.36,4,4,3.77,4.18,4.23,4.59,4.09,3.64
Fall,2016,M DURAND,CB,2711,CMPT MOLC BLG GENMC,A,Lect,6,8,75%,10.67,5,5,5,5,5,4.83,5,4.83,4.5
Fall,2016,RUSSELL SCHWARTZ,CB,2712,CMPL MTHD BIO MDL SM,A,Lect,12,19,63%,11.67,4.17,4.25,4.17,4,4,3.83,4.42,4.17,4
Spring,2016,ZIV BAR-JOSEPH,CB,2717,ALGORITHMS IN NATURE,A,Lect,2,5,40%,6.5,5,5,5,4,4.5,4.5,4.5,4.5,4
Spring,2016,"LANGMEAD, C. (co-taught)",CB,2718,COM MEDICINE,A,Lect,8,12,67%,11.13,4.38,4.88,5,4.13,4.38,4.13,4.5,4.5,4.38
Spring,2016,"WU, W. (co-taught)",CB,2718,COM MEDICINE,A,Lect,8,12,67%,11.13,4.71,4.71,4.63,4.43,4.43,4.14,4.86,4.43,4.43
Fall,2016,ANDREAS PFENNING,CB,2730,CELL SYSTMS MODELING,1,Lect,6,7,86%,13.17,3.83,4.17,4.33,3.33,4.33,4.33,4.67,4,3.83
Spring,2016,GE YANG,CB,2740,BIOIMAGE INFORMATICS,A,Lect,1,2,50%,11,5,4,4,3,5,4,5,4,4
Fall,2016,CHRISTOPHER LANGMEAD,CB,2750,AUTOMTN BIOLGL RESRC,A,Lect,44,79,56%,11.29,4.02,4.23,4.16,3.77,4.11,4.14,4.05,3.93,3.77
Spring,2016,"NAIK, A. (co-taught)",CB,2760,LAB METHODS COMP BIO,A,Lect,6,8,75%,9,4.33,3.5,4.17,4.17,4.33,4.33,4.33,4,3.5
Spring,2016,"Ayoob, J. (co-taught)",CB,2760,LAB METHODS COMP BIO,A,Lect,6,8,75%,9.8,4.67,3.67,4,4.17,4,4.17,4.83,4,3.5
Fall,2016,KLAUS SUTNER,CS,15051,DISCRETE MATH PRIMER,A1,Lect,64,166,39%,3.75,4.05,4,4.12,3.67,3.87,3.93,4.17,3.97,3.89
Fall,2016,ROGER DANNENBERG,CS,15104,INTRO COMP CRTV PRAC,1,Lect,21,35,60%,13.1,4.38,4.24,4.19,3.81,3.9,3.67,4.25,3.57,3.71
Spring,2016,"REID-MILLER, M. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,1,Lect,47,110,43%,9.53,4.06,3.87,3.87,3.66,3.85,3.85,4.3,3.83,3.67
Spring,2016,"KAYNAR, Z. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,1,Lect,47,110,43%,9.4,4.11,4.02,4,3.78,4,4.02,4.42,3.91,3.78
Spring,2016,"BALZER, S. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,1,Lect,47,110,43%,9.21,3.82,3.58,3.6,3.42,3.69,3.69,4.2,3.51,3.53
