Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,MILTON COFIELD,BA,70100,GLOBAL BUSINESS,A,Lect,41,73,56%,6.1,3.82,3.26,3.29,3.31,3.9,3.56,4.44,3.36,3.31
Fall,2016,MILTON COFIELD,BA,70100,GLOBAL BUSINESS,B,Lect,31,71,44%,5.41,4.19,3.45,3.65,3.53,4,4,4.5,3.7,3.53
Fall,2016,DAVID LAMONT,BA,70100,GLOBAL BUSINESS,C,Lect,32,46,70%,5,4.09,4.38,4.34,4.03,4.56,4.47,4.47,4.22,4.06
Fall,2016,DAVID LAMONT,BA,70100,GLOBAL BUSINESS,D,Lect,31,49,63%,4.44,4.42,4.58,4.52,4.26,4.61,4.61,4.71,4.45,4.39
Fall,2016,STARLING HUNTER,BA,70100,GLOBAL BUSINESS,W,Lect,35,46,76%,6.35,3.77,3.57,3.71,3.46,3.91,3.49,4.17,3.46,3.46
Spring,2016,DAVID RAMIREZ,BA,70101,INTRO BUSINESS MGMNT,A,Lect,22,47,47%,6.36,3.73,3.91,3.86,3.18,4.27,3.91,4.05,3.77,3.45
Spring,2016,DAVID LAMONT,BA,70101,INTRO BUSINESS MGMNT,B,Lect,26,54,48%,4.65,3.88,4.27,4.12,3.77,4.08,4.12,4.27,4.04,3.92
Fall,2016,STEPHEN VARGO,BA,70101,INTRO BUSINESS MGMNT,W,Lect,15,27,56%,7.2,4.93,4.93,4.93,4.8,4.8,4.87,4.93,4.73,4.8
Spring,2016,ROBERT MONROE,BA,70110,BUSINESS COMPUTING,A,Lect,65,71,92%,6.33,4.45,3.98,4.31,3.86,4.32,4.26,4.54,4.12,3.85
Spring,2016,ROBERT MONROE,BA,70110,BUSINESS COMPUTING,B,Lect,37,45,82%,5.89,4.54,4.08,4.43,4.16,4.22,4.3,4.49,4.16,3.92
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,W,Lect,15,21,71%,8.64,4.13,4.27,4.4,4,4.13,4,4.93,3.93,3.6
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,X,Lect,15,18,83%,10.29,3.93,3.93,4.27,4,4.07,4.27,4.93,4,3.8
Spring,2016,ANDREW BIRD,BA,70122,INTRO TO ACCOUNTING,1,Lect,28,64,44%,5.11,4.68,4.86,4.86,4.57,4.68,4.71,4.79,4.71,4.57
Fall,2016,THOMAS RUCHTI,BA,70122,INTRO TO ACCOUNTING,1,Lect,37,59,63%,5.18,4.05,4.11,4.24,3.7,4.14,4.11,3.81,3.89,3.81
