Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course,,,,,,,,,,,
,2016,,,,Year of 2016,,,5427,7961,68%,9.97,4.29,4.18,4.21,4,4.29,4.17,4.47,4.13,4.05,,,,,,,,,,,
Spring,2016,KRIS DAHL,BMD,42101,INTRODUCTION BIOMED,A,Lect,60,83,72%,6.73,4.7,4.5,4.52,4.25,4.73,4.55,4.73,4.5,4.35,,,,,,,,,,,
Spring,2016,ITZHAQ COHEN-KARNI,BMD,42201,PRO ISSUES IN BIOMED,A,Lect,29,47,62%,2.21,3.45,3.24,3.52,3,3.62,3.45,3.79,3.55,3.28,,,,,,,,,,,
Spring,2016,PHIL CAMPBELL,BMD,42202,PHYSIOLOGY,A,Lect,50,90,56%,8.24,4.48,4.66,4.6,4.22,4.7,4.62,4.72,4.56,4.52,,,,,,,,,,,
Spring,2016,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,A,Lect,5,6,83%,13.6,4.8,4.8,5,4.4,4.6,4.6,4.8,4.6,4.8,,,,,,,,,,,
Spring,2016,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,B,Lect,7,8,88%,9.29,5,5,5,5,5,5,5,5,4.86,,,,,,,,,,,
Spring,2016,CONRAD ZAPANTA,BMD,42402,BME DESIGN PROJECT,A,Lect,30,50,60%,8.1,4.8,4.43,4.47,4.47,4.6,4.53,4.67,4.57,4.33,,,,,,,,,,,
Spring,2016,JAMES ANTAKI,BMD,42444,MEDICAL DEVICES,A,Lect,5,10,50%,7.4,4.4,3.6,3.2,2.8,4.4,4,4.6,3.8,3.4,,,,,,,,,,,
Spring,2016,ADAM FEINBERG,BMD,42612,TISSUE ENG,A,Lect,9,13,69%,14.22,4.33,4.44,4.33,4.11,4.63,4.33,4.56,4.33,4.22,,,,,,,,,,,
Spring,2016,CHRISTOPHER BETTINGER,BMD,42613,MOL POLY BIOMAT,A,Lect,8,12,67%,7.63,4.63,4.13,4.5,3.88,4.25,4.25,4.63,4.38,4.38,,,,,,,,,,,
Spring,2016,ROBERT TILTON,BMD,42624,BIOLGL TRNSP DRG DLV,A,Lect,5,9,56%,8,4.6,5,5,4.8,4.8,5,5,4.8,5,,,,,,,,,,,
Spring,2016,LINDA MOYA,BMD,42630,INTRO NEURO ENG,A,Lect,10,13,77%,9.3,4.3,3.9,4.2,3.9,4.1,4.1,4.5,4.1,4,,,,,,,,,,,
Spring,2016,BYRON YU,BMD,42632,NEURAL SIGNAL PROC,A,Lect,16,21,76%,13.06,4.88,4.81,4.94,4.5,5,4.88,4.88,4.94,4.88,,,,,,,,,,,
Spring,2016,YONGJIE ZHANG,BMD,42640,CMPTL BIO-MDL VISULZ,A,Lect,11,14,79%,8.27,4.27,4.45,4.18,3.91,4.27,4.2,4.73,4,3.91,,,,,,,,,,,
