Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
,2016,,,,Year of 2016,,,6241,10212,61%,7.9,4.51,4.39,4.4,4.24,4.44,4.41,4.64,4.38,4.27
Spring,2016,PAUL ROSENBLATT,CAS,64422,HOLOCAUST CENTER 2.0,A,Lect,1,7,14%,5,5,3,3,5,5,5,5,4,4
Spring,2016,"SLEET, C. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,70,136,51%,6.52,4.43,4.44,4.39,3.96,4.43,4.39,4.51,4.34,4
Spring,2016,"KUSHNIR, A. (co-taught)",ECO,73100,PRINC OF ECONOMICS,1,Lect,70,136,51%,6.8,4.07,3.99,3.96,3.57,3.94,3.83,4.32,3.68,3.68
Spring,2016,"SLEET, C. (co-taught)",ECO,73100,PRINC OF ECONOMICS,2,Lect,61,109,56%,7.05,4.33,4.32,4.27,4.07,4.3,4.32,4.52,4.25,4.07
Spring,2016,"KUSHNIR, A. (co-taught)",ECO,73100,PRINC OF ECONOMICS,2,Lect,61,109,56%,7.08,4.08,4.07,4.13,3.88,4.15,4,4.48,3.95,4.05
Spring,2016,ELIF INCEKARA HAFALIR,ECO,73101,FRESHMAN SEMINAR,A,Lect,10,16,63%,4.7,4.1,3.7,3.8,4.2,3.9,4.2,4.3,3.8,3.8
Spring,2016,STEPHEN SPEAR,ECO,73155,LEGO: BLDG ECON ANLY,A,Lect,10,20,50%,4.4,4.1,3.1,3.3,3.1,4.1,4.3,4.44,3.5,3.4
Spring,2016,ANTONIO MIRALLES,ECO,73230,INTERMEDT MICRCOMCS,1,Lect,21,40,53%,7.55,3.62,3.52,3.52,3,3.57,3.57,3.81,3.43,3.1
Spring,2016,ANTONIO MIRALLES,ECO,73230,INTERMEDT MICRCOMCS,2,Lect,27,52,52%,5.89,3.78,3.93,3.85,3.37,3.89,3.93,4.3,3.52,3.59
Spring,2016,ONUR KESTEN,ECO,73230,INTERMEDT MICRCOMCS,W,Lect,29,33,88%,8.59,4.66,4.59,4.55,4.55,4.48,4.72,4.93,4.55,4.66
Spring,2016,ARIEL ZETLIN-JONES,ECO,73240,INTERMD MACROECONOMC,1,Lect,36,87,41%,9.78,4.72,4.64,4.69,4.61,4.72,4.64,4.75,4.72,4.53
Spring,2016,JOSEPH RUDMAN,ECO,73270,WRITING FOR ECONOMST,A,Lect,9,20,45%,5.67,4.67,4.67,4.56,5,4.67,4.56,4.56,4.56,4.44
Spring,2016,JOSEPH RUDMAN,ECO,73270,WRITING FOR ECONOMST,B,Lect,7,19,37%,5,3.71,3.71,3.86,4.14,3.86,3.43,3.43,3.43,3
Spring,2016,JOACHIM GROEGER,ECO,73274,ECONOMETRICS I,1,Lect,12,20,60%,10,4.33,3.08,3,3.17,4.08,2.92,4.58,3.58,2.25
Spring,2016,MEHMET YENMEZ,ECO,73315,MARKET DESIGN,A,Lect,31,52,60%,7.31,4.45,4.42,4.45,4.16,4.61,4.52,4.68,4.48,4.39
Spring,2016,"GASPER, J. (co-taught)",ECO,73327,ADVTOPMACROREALBUSCY,W,Lect,4,5,80%,6.5,4.5,4.5,4.5,4.5,4.5,4.5,5,4.75,4.75
Spring,2016,"KYDLAND, F. (co-taught)",ECO,73327,ADVTOPMACROREALBUSCY,W,Lect,4,5,80%,7.25,4.5,4.5,4.5,4.5,4.5,4.75,5,4.75,4.5
Spring,2016,ARIEL ZETLIN-JONES,ECO,73338,FINANCIAL CRIS & RSK,A,Lect,16,26,62%,8.19,5,4.94,4.94,4.88,4.94,4.88,5,4.94,4.81
Spring,2016,ALEXEY KUSHNIR,ECO,73341,WTH FIRM: MNG THR IN,A,Lect,15,20,75%,8.6,4.6,4.4,4.47,4.07,4.53,4.47,4.53,4.27,4.2
Spring,2016,ONUR KESTEN,ECO,73347,GAME THEORY ECON,W,Lect,6,6,100%,8,4.5,4.33,4.5,4.67,4.67,4.67,4.83,4.67,4.67
Spring,2016,ELIF INCEKARA HAFALIR,ECO,73348,BEHAVIORAL ECONOMCS,A,Lect,20,38,53%,7.9,3.95,3.89,3.79,3.63,4.05,3.63,3.63,3.53,3.47
Spring,2016,CHESTER SPATT,ECO,73353,EC REG FIN MKTS,A,Lect,4,8,50%,4.25,4,2.75,3.33,3.5,4.25,4.25,4.75,3.5,3.5
Spring,2016,HAKKI YAZICI,ECO,73372,INTNL MONEY/FINANCE,A,Lect,11,28,39%,6.64,3.64,3.55,4.09,3,3.55,3.09,4.27,3.55,3.64
Spring,2016,ANTONIO MIRALLES,ECO,73407,FNDML STATCL MODELNG,A,Lect,13,31,42%,6.85,3.85,3.77,3.46,3.31,3.08,3.62,4.23,3.08,3.08
Spring,2016,AMAL HELU,ECO,73407,FNDML STATCL MODELNG,W,Lect,2,2,100%,9.5,4,3.5,3.5,4,3.5,3.5,3.5,3.5,3
Spring,2016,KAREN CLAY,ECO,73408,LAW & ECONOMICS,A,Lect,8,15,53%,7.63,4.63,4.38,4.63,4.38,4.5,4.5,4.88,4.5,4.5
Spring,2016,DAVID CERNIGLIA,ENG,76101,INTERPRETN & ARGMNT,A,Lect,16,19,84%,5.75,4.69,4.44,4.69,4.25,4.69,4.56,4.88,4.56,4.56
Spring,2016,JOHN DAWSON,ENG,76101,INTERPRETN & ARGMNT,AA,Lect,10,15,67%,8.9,4.7,4.8,4.8,4.6,4.7,4.8,4.8,4.6,4.4
Spring,2016,DAVID CERNIGLIA,ENG,76101,INTERPRETN & ARGMNT,B,Lect,11,19,58%,5.82,4.6,4.4,4.6,4.5,4.7,4.7,4.7,4.6,4.6
Spring,2016,RACHEL GOODMANSON,ENG,76101,INTERPRETN & ARGMNT,BB,Lect,11,19,58%,5.9,5,5,4.9,5,5,4.9,5,4.9,4.8
Spring,2016,JOHN DAWSON,ENG,76101,INTERPRETN & ARGMNT,C,Lect,8,12,67%,9.5,4.13,3.88,4,3.75,3.75,4.25,4.5,3.88,3.38
Spring,2016,CALVIN POLLAK,ENG,76101,INTERPRETN & ARGMNT,CC,Lect,14,16,88%,7.57,4.21,4.07,4.07,4.21,4.21,4.29,4.14,3.79,3.36
