Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 8,1 : Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
,2016,,,,Year of 2016,,,4443,6077,73%,,9.1,4.33,4.19,4.22,4.02,4.34,4.22,4.48,4.18,4.07
Spring,2016,LEONARD CARIC,CRM,93711,ENTRE CREATV ENTRPR,A3,Lect,23,29,79%,,4.87,4.17,3.65,3.74,3.39,3.78,3.48,4.57,3.48,3.32
Spring,2016,ALLISON LEE-MANN,CRM,93716,HUM RSRC MGT CREATVE,A3,Lect,25,26,96%,,4.04,3.36,2.56,2.8,2.2,3.21,2.56,4.2,2.28,2.24
Spring,2016,LYNNE PASTOR,CRM,93725,FIN STATEMENT LIT,A3,Lect,18,25,72%,,7.12,4.11,4.39,4.44,4.11,4.44,4.11,4.44,4.17,4
Spring,2016,LYNNE PASTOR,CRM,93726,FDMTLS OF FINANCE,A4,Lect,18,25,72%,,6,4.17,4.06,4.11,3.72,4.11,3.78,4.28,3.88,3.61
Spring,2016,KARYN MOORE,CRM,93731,TECH PLN IMPLM CR EN,A4,Lect,22,24,92%,,8.32,4.09,4.05,4.05,3.95,4.27,3.86,3.91,3.81,3.64
Spring,2016,JEFFREY SCHNEIDER,CRM,93751,ENTERTAIN ECON,A4,Lect,15,27,56%,,7.8,3.87,3.4,3.8,3.33,4.2,3.8,4.07,3.73,3.6
Spring,2016,SARAH TAMBUCCI,CRM,93804,ARTS EDUCATION,A4,Lect,7,7,100%,,5.5,5,4.86,5,4.86,4.86,5,4.86,4.86,4.86
Spring,2016,CHRISTOPHER SIEFERT,CRM,93807,MUSEUM OPERATIONS,A3,Lect,11,13,85%,,6.09,4.55,4.09,4.18,4.45,4.09,4.18,4.55,4.09,4.09
Spring,2016,KATHRYN HEIDEMANN,CRM,93812,PRES PERF ART & FEST,A4,Lect,11,11,100%,,4.45,4.27,4.09,4,3.36,4.09,4,4.36,4,3.45
Spring,2016,BRETT CRAWFORD,CRM,93815,AUD ENGAGEMNT & PART,A3,Lect,19,22,86%,,7.37,4.63,3.89,4.16,4.32,4.58,4.21,4.58,4.32,4.21
Spring,2016,BRETT CRAWFORD,CRM,93821,EXT REL: ARTS MKT PR,A4,Lect,32,33,97%,,8.63,4.56,3.88,4,4.34,4.63,4.28,4.59,4.38,4.16
Spring,2016,GERMAINE WILLIAMS,CRM,93826,EXT REL: FUND & PHI,A3,Lect,24,31,77%,,5.75,2.75,1.96,2.29,2.21,2.75,2.38,3.71,2.13,2
Spring,2016,JERRY COLTIN,CRM,93827,EXT REL: SPN & GRN,A4,Lect,14,16,88%,,8.21,3.29,3.07,3.07,2.93,3.36,3.21,3.29,2.93,2.79
Spring,2016,JERRY COLTIN,CRM,93827,EXT REL: SPN & GRN,B4,Lect,12,15,80%,,10,3.75,3.17,3.5,3.45,3.92,3.5,3.5,3.5,3.42
Spring,2016,MARY NAVARRO,CRM,93842,SPC TPC CRET PLCEMKG,A4,Lect,11,12,92%,,5.82,4.91,4.91,4.73,4.55,4.91,4.82,4.91,4.82,4.82
Spring,2016,BETH WALTER,HC,94701,BUSINESS ENGLISH,A4,Lect,17,19,89%,,6.24,4.53,4.53,4.47,4.59,4.53,4.41,4.53,4.29,4.29
Spring,2016,STACY ROSENBERG,HC,94702,PROFESSIONAL WRITING,A3,Lect,19,21,90%,,5,4.89,4.74,4.79,4.58,4.79,4.68,4.84,4.74,4.53
Spring,2016,STACY ROSENBERG,HC,94702,PROFESSIONAL WRITING,B3,Lect,16,24,67%,,5.56,4.38,4.44,4.47,4.63,4.75,4.25,4.38,4.31,4.25
Spring,2016,BETH WALTER,HC,94702,PROFESSIONAL WRITING,C3,Lect,18,23,78%,,8.18,4.29,3.83,3.89,4.33,4.28,4.17,4.28,3.83,3.67
Spring,2016,STACY ROSENBERG,HC,94702,PROFESSIONAL WRITING,E4,Lect,19,20,95%,,4.37,4.53,4.74,4.47,4.47,4.53,4.74,4.67,4.58,4.32
Spring,2016,BETH WALTER,HC,94702,PROFESSIONAL WRITING,G4,Lect,12,21,57%,,8.58,4.42,4.25,4.17,4.25,4.17,4,4.33,4.17,3.83
Spring,2016,KIM HYATT,HC,94702,PROFESSIONAL WRITING,Z4,Lect,11,16,69%,,4.18,4.82,4.82,4.82,4.64,4.64,4.73,4.73,4.73,4.64
Spring,2016,REMA PADMAN,HC,94706,HEALTHCARE INF SYSTM,A,Lect,14,19,74%,,12.07,4.64,4,4.07,3.71,4.71,4.29,4.71,4.21,3.93
Spring,2016,JARED SIMMER,HC,94800,NEGOTIATION,A3,Lect,16,23,70%,,5.6,4.75,4.31,4.56,4.19,4.88,4.75,4.38,4.69,4.75
Spring,2016,JARED SIMMER,HC,94800,NEGOTIATION,B4,Lect,26,28,93%,,7.12,4.04,4.19,4.08,3.85,4.42,4.08,4,3.85,3.92
Spring,2016,Amanda Plummer,HC,94800,NEGOTIATION,C4,Lect,18,24,75%,,6.5,4.61,4.61,4.61,4.33,4.61,4.61,4.82,4.56,4.5
Spring,2016,MELISSA MARTIN,HC,94801,ACTING FOR MANGEMNT,A3,Lect,13,20,65%,,5.23,4.85,4.69,4.77,4.69,4.77,4.77,4.77,4.77,4.77
Spring,2016,MELISSA MARTIN,HC,94801,ACTING FOR MANGEMNT,B4,Lect,16,22,73%,,5,4.63,4.44,4.67,4.81,4.69,4.44,4.56,4.63,4.56
Spring,2016,MELISSA MARTIN,HC,94801,ACTING FOR MANGEMNT,C3,Lect,12,23,52%,,4.75,4.92,4.5,4.75,4.67,4.83,4.83,5,4.92,4.92
Spring,2016,WILPEN GORR,HC,94802,GEOGRPHC INFO SYSTEM,A,Lect,33,35,94%,,10.91,4.73,4.48,4.55,4.52,4.76,4.55,4.91,4.39,4.52
Spring,2016,STEFAN LABASH,HC,94803,CONSULTNG LAB,A4,Lect,16,18,89%,,8.67,4.56,4.5,4.63,4.56,4.5,4.5,4.5,4.5,4.5
Spring,2016,SONAM SAMAT,HC,94806,PRIVACY DIGITAL AGE,Z4,Lect,21,37,57%,,12.95,3.71,3.81,3.86,3.38,3.62,3.43,3.71,3.38,3.47
