Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
,2016,,,,Year of 2016,,,1775,2795,64%,7.35,4.43,4.29,4.35,4.12,4.4,4.32,4.59,4.23,4.14
Spring,2016,DAVID RAMIREZ,BA,70101,INTRO BUSINESS MGMNT,A,Lect,22,47,47%,6.36,3.73,3.91,3.86,3.18,4.27,3.91,4.05,3.77,3.45
Spring,2016,DAVID LAMONT,BA,70101,INTRO BUSINESS MGMNT,B,Lect,26,54,48%,4.65,3.88,4.27,4.12,3.77,4.08,4.12,4.27,4.04,3.92
Spring,2016,ROBERT MONROE,BA,70110,BUSINESS COMPUTING,A,Lect,65,71,92%,6.33,4.45,3.98,4.31,3.86,4.32,4.26,4.54,4.12,3.85
Spring,2016,ROBERT MONROE,BA,70110,BUSINESS COMPUTING,B,Lect,37,45,82%,5.89,4.54,4.08,4.43,4.16,4.22,4.3,4.49,4.16,3.92
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,W,Lect,15,21,71%,8.64,4.13,4.27,4.4,4,4.13,4,4.93,3.93,3.6
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,X,Lect,15,18,83%,10.29,3.93,3.93,4.27,4,4.07,4.27,4.93,4,3.8
Spring,2016,ANDREW BIRD,BA,70122,INTRO TO ACCOUNTING,1,Lect,28,64,44%,5.11,4.68,4.86,4.86,4.57,4.68,4.71,4.79,4.71,4.57
Spring,2016,ANDREW BIRD,BA,70122,INTRO TO ACCOUNTING,2,Lect,38,66,58%,5.41,4.74,4.76,4.71,4.45,4.61,4.82,4.82,4.74,4.54
Spring,2016,STEPHEN VARGO,BA,70122,INTRO TO ACCOUNTING,W,Lect,24,32,75%,9.26,4.58,4.54,4.67,4.58,4.75,4.63,4.96,4.46,4.46
Spring,2016,STEPHEN VARGO,BA,70122,INTRO TO ACCOUNTING,X,Lect,20,29,69%,7.84,4.55,4.65,4.65,4.45,4.55,4.4,4.85,4.3,4.25
Spring,2016,ANTHONY STANTON,BA,70160,GRAPHIC MEDIA MGMT,A,Lect,30,57,53%,5.4,4.77,4.43,4.5,4.33,4.6,4.47,4.67,4.37,4.43
Spring,2016,ANTHONY STANTON,BA,70196,PUBLSHNG ON THE WWW,1,Lect,19,36,53%,6.17,4.63,4.74,4.68,4.53,4.32,4.32,4.42,4.37,4.37
Spring,2016,MILTON COFIELD,BA,70201,PROFSSNL & SRVC PROJ,A,Lect,20,46,43%,4.68,3.1,3.4,3.65,3.1,3.4,3.4,3.8,3.2,3.05
Spring,2016,XIZHEN CAI,BA,70207,PROB & STAT BUS APPL,A,Lect,47,84,56%,7.33,3.89,4.13,4.06,3.51,3.66,3.74,4.32,3.54,3.66
Spring,2016,REBECCA LESSEM,BA,70208,REGRESSION ANALYSIS,1,Lect,26,60,43%,7.44,3.73,3.92,3.96,3.5,3.73,3.73,4.23,3.38,3.42
Spring,2016,REBECCA LESSEM,BA,70208,REGRESSION ANALYSIS,2,Lect,23,49,47%,6.57,3.74,3.7,3.65,3.59,3.96,3.65,4.39,3.48,3.3
Spring,2016,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,W,Lect,14,16,88%,11.23,4.57,4.5,4.5,4.07,4.36,4.71,5,4.5,4.29
Spring,2016,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,X,Lect,21,21,100%,11.2,4.76,4.86,4.81,4.33,4.67,4.86,4.95,4.76,4.48
Spring,2016,MARK FICHMAN,BA,70311,ORGNZTN BEHAVIOR,A,Lect,20,36,56%,6.65,3.05,3.3,3.25,2.85,3.4,3.15,3.25,2.85,2.75
